id,cd_estabelecimento_saude,nome_estabelecimento_saude,cnes,numero_uge_cnpj,desc_uge_cnpj,ambito,codigoibge,municipio,rras,regiao_de_saude,codigo_drs,desc_drs,tipo_gerenciamento,tipo_estabelecimento,fluxo_clientela,porte,empenhado,liquidado,pago,internacoes,dias_permanencia,media_permanencia,obitos,taxa_mortalidade,diarias_uti,producao_ambulatorial_antedimentos_consultas_exames,procedimentos_ambulatoriais_grupo_acoes_promocao_prevencao_saud,procedimentos_ambulatoriais_finalidade_diagnostica,procedimentos_clinicos_ambulatoriais_consultas_atendimentos_tra,procedimentos_cirurgicos_ambulatoriais,procedimentos_ambulatoriais_grupo_transplante_orgaos_tecidos_ce,procedimentos_ambulatoriais_grupo_medicamentos,procedimentos_ambulatoriais_grupo_orteses_proteses_materiais_es,outros_procedimentos_ambulatoriais,leitos_cirurgicos,leitos_clinicos,leitos_complementares,leitos_obstetricos,leitos_pediatricos,leitos_outras_especialidades,hospital_dia,tomografo_computadorizado,ressonancia_magnetica,ultrassom_droppler_colorido,ultrassom_ecografo,ultrassom_convencional,raio_x_hemodinamica,medicos_cpf_unico,medicos,latitude,longitude,periodo_referencia_inicio,periodo_referencia_fim,periodo_referencia_texto,nome_fantasia,municipio_ibge
"1,223.00",102105,HOSPITAL MUNICIPAL BRASILANDIA,"102,105.00",,,Municipal,"3,550,308.00",SÃO PAULO,RRAS06,SÃO PAULO,,DRS 1 - GRANDE SÃO PAULO,,HOSPITAL GERAL,Atendimento de demanda referenciada,Grande,,,,"4,274.00","42,949.00",10.00,870.00,20.36,"23,528.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,218.00,222.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,,539.00,"-23,4758413","-46,6982533",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL MUNICIPAL BRASILANDIA,São Paulo
"1,224.00",2079720,HOSPITAL GUILHERME ALVARO SANTOS,"2,079,720.00",,,Estadual,"3,548,500.00",SANTOS,RRAS07,BAIXADA SANTISTA,,DRS 4 - BAIXADA SANTISTA,Administração,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Grande,"129,859,613.45","129,859,613.45","112,937,324.32","7,507.00","51,751.00",6.90,597.00,7.95,"14,374.00","304,536.00","3,483.00","108,187.00","131,929.00",268.00,0.00,0.00,"60,669.00",0.00,57.00,46.00,88.00,25.00,18.00,30.00,0.00,2.00,1.00,1.00,1.00,4.00,0.00,,618.00,"-23,96334","-46,31955",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL GUILHERME ALVARO SANTOS,Santos
"1,225.00",189979,HOSPITAL DE CAMPANHA COVID 19 CARAGUATATUBA,"189,979.00",,,Municipal,"3,510,500.00",CARAGUATATUBA,RRAS17,LITORAL NORTE,,DRS 17 - TAUBATE,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Médio,,,,"2,391.00","8,290.00",3.50,69.00,2.89,0.00,"306,146.00",0.00,"125,529.00","180,572.00",45.00,0.00,0.00,0.00,0.00,0.00,80.00,20.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,72.00,"-23,6269289","-45,4180436",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL DE CAMPANHA COVID 19 CARAGUATATUBA,Caraguatatuba
"1,226.00",9208887,HOSPITAL MUNICIPAL DE SANTO ANTONIO DA ALEGRIA,"9,208,887.00",,,Municipal,"3,547,908.00",SANTO ANTÔNIO DA ALEGRIA,RRAS13,VALE DAS CACHOEIRAS,,DRS 13 - RIBEIRÃO PRETO,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Pequeno,,,,,,,,,,,,,,,,,,,0.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,,,"-21,0771946","-47,1947232",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL MUNICIPAL DE SANTO ANTONIO DA ALEGRIA,Santo Antônio da Alegria
"1,227.00",2024438,HOSPITAL E MATERNIDADE DR ADONIRAN CORREIA CAMPOS MONGAGUA,"2,024,438.00",,,Municipal,"3,531,100.00",MONGAGUÁ,RRAS07,BAIXADA SANTISTA,,DRS 4 - BAIXADA SANTISTA,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Pequeno,,,,681.00,"3,341.00",4.90,43.00,6.31,0.00,"87,639.00",0.00,"21,511.00","65,718.00",410.00,0.00,0.00,0.00,0.00,6.00,12.00,0.00,8.00,10.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,,42.00,"-24,13643","-46,70131",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL E MATERNIDADE DR ADONIRAN CORREIA CAMPOS MONGAGUA,Mongaguá
"1,228.00",112062,HOSPITAL DE CAMPANHA RIBEIRAO PIRES,"112,062.00",,,Municipal,"3,543,303.00",RIBEIRÃO PIRES,RRAS01,GRANDE ABC,,DRS 1 - GRANDE SÃO PAULO,,HOSPITAL GERAL,Atendimento de demanda referenciada,Pequeno,,,,595.00,"4,388.00",7.40,114.00,19.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,22.00,0.00,0.00,0.00,0.00,,,,,,,,22.00,"-23,7068692","-46,4168441",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL DE CAMPANHA RIBEIRAO PIRES,Ribeirão Pires
"1,229.00",7979649,UNIDADE HOSPITALAR VILA GUILHERME,"7,979,649.00",,,Municipal,"3,550,308.00",SÃO PAULO,RRAS06,SÃO PAULO,,DRS 1 - GRANDE SÃO PAULO,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Pequeno,,,,"1,893.00",532.00,0.30,,,0.00,"83,554.00",154.00,"21,018.00","60,901.00","1,481.00",0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,1.00,1.00,0.00,,111.00,"-23,5157388","-46,6070082",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,UNIDADE HOSPITALAR VILA GUILHERME,São Paulo
"1,230.00",5451612,INSTITUTO DE REABILITACAO LUCY MONTORO,"5,451,612.00",,,Estadual,"3,550,308.00",SÃO PAULO,RRAS06,SÃO PAULO,,DRS 1 - GRANDE SÃO PAULO,Terceiros,HOSPITAL ESPECIALIZADO,Atendimento de demanda referenciada,Médio,"37,704,623.26","37,604,623.26","37,604,623.26",581.00,"12,083.00",20.80,,,0.00,"29,376.00",72.00,815.00,"25,557.00",75.00,0.00,0.00,"2,857.00",0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,25.00,"-23,62903","-46,73542",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,INSTITUTO DE REABILITACAO LUCY MONTORO,São Paulo
"1,231.00",9329080,HOSPITAL E MATERNIDADE PUBLICO DE DOURADO,"9,329,080.00",,,Municipal,"3,514,304.00",DOURADO,RRAS13,CORAÇÃO DO DRS III,,DRS 3 - ARARAQUARA,,HOSPITAL GERAL,Atendimento de demanda espontânea,Pequeno,,,,,,,,,,57.00,0.00,11.00,46.00,0.00,0.00,0.00,0.00,0.00,2.00,9.00,3.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,,7.00,"-22,1261969","-48,3389644",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL E MATERNIDADE PUBLICO DE DOURADO,Dourado
"1,232.00",2790580,MATERNIDADE SANTA ISABEL,"2,790,580.00",,,Estadual,"3,506,003.00",BAURU,RRAS09,BAURU,,DRS 6 - BAURU,Terceiros,HOSPITAL ESPECIALIZADO,Atendimento de demanda espontânea e referenciada,Médio,"41,398,962.00","41,398,962.00","41,398,962.00","6,365.00","23,387.00",3.70,40.00,0.63,"4,167.00","40,713.00",0.00,"10,707.00","30,006.00",0.00,0.00,0.00,0.00,0.00,2.00,1.00,29.00,44.00,6.00,0.00,0.00,0.00,0.00,2.00,2.00,1.00,0.00,,147.00,"-22,32935","-49,06711",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,MATERNIDADE SANTA ISABEL,Bauru
"1,233.00",2023865,HOSPITAL MUNICIPAL DR AMADEU PAGLIUSO,"2,023,865.00",,,Municipal,"3,524,204.00",JABORANDI,RRAS13,NORTE-BARRETOS,,DRS 5 - BARRETOS,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Pequeno,,,,100.00,358.00,3.60,5.00,5.00,0.00,"115,003.00",983.00,"23,046.00","85,858.00",707.00,0.00,0.00,0.00,"4,409.00",1.00,8.00,1.00,2.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,8.00,"-20,69378","-48,41398",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL MUNICIPAL DR AMADEU PAGLIUSO,Jaborandi
"1,234.00",9465464,HOSP MUN JOSANIAS CASTANHA BRAGA,"9,465,464.00",,,Municipal,"3,550,308.00",SÃO PAULO,RRAS06,SÃO PAULO,,DRS 1 - GRANDE SÃO PAULO,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Grande,,,,"3,691.00","34,896.00",9.50,"1,053.00",28.53,"19,781.00","513,466.00",0.00,"207,397.00","304,756.00","1,313.00",0.00,0.00,0.00,0.00,54.00,105.00,189.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,1.00,1.00,0.00,,283.00,"-23,5673866271973","-46,570384979248",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSP MUN JOSANIAS CASTANHA BRAGA,São Paulo
"1,235.00",2080680,HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES,"2,080,680.00",,,Estadual,"3,530,607.00",MOGI DAS CRUZES,RRAS02,ALTO DO TIETÊ,,DRS 1 - GRANDE SÃO PAULO,Terceiros,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Grande,"186,653,109.00","186,653,109.00","186,653,109.00","13,048.00","91,194.00",7.00,"1,838.00",14.09,"10,021.00","550,639.00",0.00,"394,687.00","149,255.00","6,697.00",0.00,0.00,0.00,0.00,109.00,100.00,29.00,0.00,50.00,14.00,12.00,1.00,1.00,2.00,2.00,0.00,0.00,,517.00,"-23,50952","-46,19384",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES,Mogi das Cruzes
"1,236.00",2790734,INSTITUTO LAURO DE SOUZA LIMA BAURU,"2,790,734.00",,,Estadual,"3,506,003.00",BAURU,RRAS09,BAURU,,DRS 6 - BAURU,Administração,HOSPITAL ESPECIALIZADO,Atendimento de demanda espontânea e referenciada,Médio,"28,159,389.83","28,159,389.83","25,459,557.52",154.00,"2,944.00",19.10,4.00,2.60,0.00,"77,864.00",0.00,"39,195.00","34,743.00","3,197.00",264.00,0.00,465.00,0.00,16.00,22.00,0.00,0.00,0.00,25.00,20.00,0.00,0.00,1.00,0.00,0.00,0.00,,43.00,"-22,31128","-49,02577",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,INSTITUTO LAURO DE SOUZA LIMA BAURU,Bauru
"1,237.00",2747871,HOSPITAL MUNICIPAL GOV MARIO COVAS JR,"2,747,871.00",,,Municipal,"3,520,400.00",ILHABELA,RRAS17,LITORAL NORTE,,DRS 17 - TAUBATE,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Médio,,,,"1,921.00","6,528.00",3.40,46.00,2.39,78.00,"437,878.00",53.00,"179,458.00","256,743.00","1,612.00",0.00,0.00,0.00,12.00,10.00,28.00,12.00,11.00,8.00,2.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,,111.00,"-23,778","-45,358",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL MUNICIPAL GOV MARIO COVAS JR,Ilhabela
"1,238.00",2058340,HOSPITAL MUNICIPAL DE QUELUZ,"2,058,340.00",,,Municipal,"3,541,901.00",QUELUZ,RRAS17,CIRCUITO DA FÉ - VALE HISTÓRICO,,DRS 17 - TAUBATE,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Pequeno,,,,255.00,961.00,3.80,8.00,3.14,0.00,"99,154.00",0.00,"49,119.00","49,927.00",108.00,0.00,0.00,0.00,0.00,4.00,8.00,0.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,,28.00,"-22,53846","-44,77475",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL MUNICIPAL DE QUELUZ,Queluz
"1,239.00",7580770,HOSPITAL ESTADUAL DE CAIEIRAS,"7,580,770.00",,,Estadual,"3,509,007.00",CAIEIRAS,RRAS03,FRANCO DA ROCHA,,DRS 1 - GRANDE SÃO PAULO,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Pequeno,,,,"3,487.00","10,353.00",3.00,5.00,0.14,964.00,"34,434.00",0.00,"5,600.00","28,834.00",0.00,0.00,0.00,0.00,0.00,4.00,0.00,16.00,32.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,,144.00,"-23,35864","-46,73774",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL ESTADUAL DE CAIEIRAS,Caieiras
"1,240.00",7573162,HOSPITAL REGIONAL DE JUNDIAI,"7,573,162.00",,,Estadual,"3,525,904.00",JUNDIAÍ,RRAS16,JUNDIAÍ,,DRS 7 - CAMPINAS,Terceiros,HOSPITAL GERAL,Atendimento de demanda referenciada,Médio,"58,352,561.00","58,352,561.00","58,352,561.00","5,187.00","18,266.00",3.50,264.00,5.09,"2,873.00","30,766.00",0.00,"9,347.00","21,419.00",0.00,0.00,0.00,0.00,0.00,81.00,25.00,16.00,0.00,0.00,0.00,14.00,1.00,0.00,2.00,0.00,0.00,1.00,,116.00,"-23,1852","-46,88384",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL REGIONAL DE JUNDIAI,Jundiaí
"1,241.00",2752077,HOSP DO SERV PUB MUNICIPAL HSPM,"2,752,077.00",,,Municipal,"3,550,308.00",SÃO PAULO,RRAS06,SÃO PAULO,,DRS 1 - GRANDE SÃO PAULO,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Grande,,,,"2,461.00","15,343.00",6.20,138.00,5.61,"3,552.00","122,023.00",0.00,"46,214.00","75,342.00",467.00,0.00,0.00,0.00,0.00,103.00,107.00,42.00,22.00,24.00,0.00,0.00,2.00,0.00,3.00,1.00,0.00,1.00,,646.00,"-23,44145","-46,79989",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSP DO SERV PUB MUNICIPAL HSPM,São Paulo
"1,242.00",2084473,HOSP MUN DR IGNACIO PROENCA DE GOUVEA,"2,084,473.00",,,Municipal,"3,550,308.00",SÃO PAULO,RRAS06,SÃO PAULO,,DRS 1 - GRANDE SÃO PAULO,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Médio,,,,"3,371.00","23,406.00",6.90,505.00,14.98,"6,475.00","226,229.00",879.00,"183,878.00","40,849.00",623.00,0.00,0.00,0.00,0.00,10.00,48.00,69.00,28.00,8.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,0.00,,560.00,"-23,57182","-46,58969",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSP MUN DR IGNACIO PROENCA DE GOUVEA,São Paulo
"1,243.00",2079119,CENTRO DE REF DA SAUDE DA MULHER DE R PRETO MATER,"2,079,119.00",,,Estadual,"3,543,402.00",RIBEIRÃO PRETO,RRAS13,AQUÍFERO GUARANI,,DRS 13 - RIBEIRÃO PRETO,Terceiros,HOSPITAL ESPECIALIZADO,Atendimento de demanda espontânea e referenciada,Pequeno,"30,812,188.00","30,812,188.00","30,812,188.00","4,680.00","10,640.00",2.30,,,0.00,"36,596.00",0.00,"20,434.00","16,144.00",18.00,0.00,0.00,0.00,0.00,6.00,2.00,8.00,32.00,2.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,,87.00,"-21,12302","-47,79184",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,CENTRO DE REF DA SAUDE DA MULHER DE R PRETO MATER,Ribeirão Preto
"1,244.00",2790556,HOSPITAL DE BASE DE BAURU,"2,790,556.00",,,Estadual,"3,506,003.00",BAURU,RRAS09,BAURU,,DRS 6 - BAURU,Terceiros,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Médio,"111,181,418.00","111,181,418.00","111,181,418.00","8,916.00","57,626.00",6.50,632.00,7.09,"10,017.00","532,575.00",0.00,"393,910.00","135,150.00","2,303.00",632.00,0.00,580.00,0.00,61.00,80.00,28.00,0.00,0.00,0.00,6.00,1.00,0.00,3.00,0.00,0.00,1.00,,234.00,"-22,33057","-49,07684",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL DE BASE DE BAURU,Bauru
"1,245.00",2081725,CAIS CLEMENTE FERREIRA DE LINS,"2,081,725.00",,,Estadual,"3,527,108.00",LINS,RRAS09,LINS,,DRS 6 - BAURU,Administração,HOSPITAL GERAL,Atendimento de demanda referenciada,Grande,"32,231,993.11","32,231,993.11","29,542,406.47",983.00,"62,642.00",63.70,16.00,1.63,0.00,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,262.00,0.00,,,,,,,,10.00,"-21,67527","-49,75226",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,CAIS CLEMENTE FERREIRA DE LINS,Lins
"1,246.00",2091658,UNIDADE HOSPITALAR M BOI MIRIM I,"2,091,658.00",,,Municipal,"3,550,308.00",SÃO PAULO,RRAS06,SÃO PAULO,,DRS 1 - GRANDE SÃO PAULO,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Pequeno,,,,"1,489.00",,,,,0.00,"141,864.00",0.00,"38,586.00","101,033.00","2,245.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,,117.00,"-23,57938","-46,64467",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,UNIDADE HOSPITALAR M BOI MIRIM I,São Paulo
